ID Code,Supplier,Fragrance Name,Base,Signal Word,CLP Data,Contains,Warning,Pictogram
CO1087,Cosy Owl,Nutcracker,10% NH,Warning,"H412, P273, P501","Cinnamic aldehyde, Heliotropine crystals",Harmful to aquatic life with long lasting effects.,
CO1088,Cosy Owl,Ocean,10% NH,Warning,"H412, P273, P501","Floralozone, UNDECYLENAL",Harmful to aquatic life with long lasting effects.,
CO1089,Cosy Owl,Orange Clove,10% NH,Warning,"H317, P273, P501","4-(1-METHYLETHYL)-CYCLOHEXANEMETHANOL, BETACARYOPHYLLENE, CINNAMYL ALCOHOL, CITRAL, EUGENOL, LINALYL ACETATE",May cause an allergic skin reaction.,GHS07
CO1090,Cosy Owl,Orchard Delights,10% NH,Warning,"H412, P273, P501","(E)-1-(2,6,6-TRIMETHYL-1,3-CYCLOHEXADIEN-1-YL)-2-BUTEN-1ONE, 3-(2H-1,3-BENZODIOXOL-5-YL)-2-METHYLPROPANAL, GERANIOL, LIMONENE, LINALOOL, LINALYL ACETATE",Harmful to aquatic life with long lasting effects.,
CO1091,Cosy Owl,Oud,10% NH,Warning,"H412, P273, P501","(E)-1-(2,6,6TRIMETHYL-1,3-CYCLOHEXADIEN-1-YL)-2-BUTEN-1-ONE, ALPHAISOMETHYL IONONE, CITRONELLOL, DIHYDRO PENTAMETHYLINDANONE (DPMI), EUGENOL, GERANIOL, TETRAHYDROLINALOOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",Harmful to aquatic life with long lasting effects.,
CO1092,Cosy Owl,Palm Garden,10% NH,Warning,"H412, P273, P501","Helional, Amyl cinnamic aldehyde, Benzyl salicylate, Linalool",Harmful to aquatic life with long lasting effects.,
CO1093,Cosy Owl,Parma Violets,10% NH,,,"ALPHA-ISOMETHYL IONONE, CITRONELLOL, LINALOOL, METHYL 2-OCTYNOATE, METHYL OCTINE CARBONATE",,
CO1094,Cosy Owl,Pear Drop,10% NH,,,"Hexyl cinnamic aldehyde, Heliotropine crystals, d-Limonene, Eugenol, Geranyl acetate, Cinnamic aldehyde",,
CO1095,Cosy Owl,Peony Petals,10% NH,Warning,"H412, P273, P501","Lyral, Geraniol (mixed isomers), Citronellol pure, Iso E Super, Benzyl salicylate, Vertenex, Hexyl cinnamic aldehyde",Harmful to aquatic life with long lasting effects.,
CO1096,Cosy Owl,Petrol,10% NH,,,,,
CO1097,Cosy Owl,Pineapple Mango,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1098,Cosy Owl,Pink Grapefruit,10% NH,Warning,"H317, H411, P273",,May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CO1099,Cosy Owl,Pink Lemonade,10% NH,Warning,"H317, P501","ALLYL CYCLOHEXYLPROPIONATE, CITRAL, CITRAL-ACID ISOMERIZED, ETHYL METHYLPHENYLGLYCIDATE, NEROL, TETRAHYDROLINALOOL",May cause an allergic skin reaction.,GHS07
CO10100,Cosy Owl,Plum Mulberry,10% NH,,,"Ethyl Methylphenylglycidate, Citronellol, DeltaDamascone",,
CO10101,Cosy Owl,Pomegranate Noir,10% NH,Warning,"H317, P273, P501",,May cause an allergic skin reaction.,GHS07
CO10102,Cosy Owl,Pumpkin Spice,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO10103,Cosy Owl,Raspberry,10% NH,,,"Citronellol pure, Methyl cinnamate, Aldehyde C-16",,
CO10104,Cosy Owl,Red Apple,10% NH,Warning,"H412, P273, P501","Hexyl cinnamic aldehyde, Isocyclocitral",Harmful to aquatic life with long lasting effects.,
CO10105,Cosy Owl,Red Berry Holly,10% NH,Warning,"H412, P273, P501","dLimonene, Aldehyde C-16",Harmful to aquatic life with long lasting effects.,
